"Rating","Heading","Description"
"5","Perfect product!","I am vary happy for buy this phone"
"4","Very Good","Beautiful Surrounding sound....first time in mobile....Over all love it"
"5","Just wow!","It is a good product and good quality of camera and display it is a very good performance"
"5","Fabulous!","Battery Backup Good.Cemara Is Good.Totally Is Too Good"
"4","Worth the money","good quality as per price"
"5","Classy product","Amazing"
"5","Terrific purchase","not working perfectly"
"4","Really Nice","Good phone.big display but not full hd. camera just ok."
"5","Best in the market!","Good products"
"5","Terrific purchase","Awesome phone for budget.. camera Quality is good only for outside or daylight photo it is no so good for low light... battery charging is very fast and draining is also a bit slow...no issue of battery...HD support screen...nice for playing games like pubg and so on..."
"4","Value-for-money","Good"
"5","Simply awesome","Well product"
"4","Really Nice","Ery good mobile at this price range. Really worth it."
"5","Best in the market!","Phn ko 7 days sa jyda use krne k bd ek hii word vale for money good camera display sound it's all good and don't mind in negative comments"
"5","Terrific purchase","Really good mobile in this price"
"5","Wonderful","Super"
"5","Excellent","Ok"
"5","Awesome","So nice camera phone"
"5","Just wow!","Totally fine with this phone except revolution this phone just 720,in my opinion it should be at least 1080"
"1","Absolute rubbish!","This mobile is good camera os not good"
"5","Classy product","To good"
"4","Very Good","Best phone n great delivery thanks"
"3","Just okay","Super se uper"
"4","Delightful","Nice i love it"
"1","Don't waste your money","Sound not good,no DTS work,no bass sound in headfones"
"5","Wonderful","Super"
"5","Excellent","Ok"
"5","Awesome","So nice camera phone"
"5","Just wow!","Totally fine with this phone except revolution this phone just 720,in my opinion it should be at least 1080"
"1","Absolute rubbish!","This mobile is good camera os not good"
"5","Classy product","To good"
"4","Very Good","Best phone n great delivery thanks"
"3","Just okay","Super se uper"
"4","Delightful","Nice i love it"
"1","Don't waste your money","Sound not good,no DTS work,no bass sound in headfones"
"5","Fabulous!","Love it"
"5","Worth every penny","This phone is osm"
"5","Terrific purchase","Very good"
"5","Must buy!","Best in Budget smartphone...."
"5","Worth every penny","Amazing phone it's phone is boom🔥🔥"
"5","Excellent","Amazing mobile and super 👌👌👌👌👌👌👌👌😘😘"
"5","Best in the market!","Unstoppable it's really better than infinix hot 10, poco M2, mi 9 primen, and techno common 16, and realme 7i cozz it's camera is outstanding..if u really looking for camera phone then is the one"
"5","Brilliant","Very good product"
"5","Awesome","Nice phone"
"5","Terrific purchase","Delivery is so fast thanks flipkart to join with our family and member"
"5","Highly recommended","Ek Number Different Looking than other mobile its not budget mobile its super saving good looking and high performance mobile💞💞👌👌"
"2","Moderate","This product automaticly running"
"5","Excellent","Good infinix product"
"5","Fabulous!","Good product"
"5","Worth every penny","Nice product 😊"
"3","Decent product","Overall nice"
"4","Delightful","beautiful camera and colour"
"5","Highly recommended","superb. product"
"5","Wonderful","Display quality is very good and camera quality amazing"
"5","Must buy!","It's my second smartphone of of this brand name infinix. They just made Awesome quality smartphone at pocket friendly budget."
"4","Good quality product","It's a good budget phone if you're looking for one under 7000 the time I bought it, battery is good the rest decent performance."
"5","Classy product","Very good product"
"4","Worth the money","nice phone"
"5","Great product","Sandar smartphone..👌🏻👌🏻👌🏻👍👍"
"4","Really Nice","Ok nice"
"4","Wonderful","It's good but price is more."
"5","Terrific purchase","Best look in black and rambow colours are so nice"
"5","Must buy!","Nice product worth for Money . mobile touching smoothly  .awsm feel ."
"5","Best in the market!","Good but some time screen flickering."
"5","Excellent","Very nice mobile 👍"
"1","Utterly Disappointed","Its low quality product"
"5","Best in the market!","very good performence"
"5","Super!","So excellent mobile"
"5","Terrific","It's terrific"
"5","Terrific","Good"
"5","Fabulous!","Very Big Size Mobile and very beautiful look . Very good running and faster please go for it. This is my second infinix phone. First I purchased infinix hot 8 it was working good in one year."
"3","Fair","Camera is not 48 mp,but low buget phone."
"5","Just wow!","Nice mobile"
"5","Mind-blowing purchase","Good"
"2","Bad quality","just ok infinix note 7 mobile"
"5","Best in the market!","Good"
"2","Not good","Very bad product"
"5","Worth every penny","Good product, value money"
"5","Great product","Good"
"1","Useless product","Don't bye this mobile it's over heating while charging better go onther one"
"3","Fair","Good features good phone but battery is not up to the mark draining fast and overheating on using only 10 -minits"
"5","Must buy!","Good"
"5","Awesome","Superb"
"5","Terrific purchase","Super"
"4","Good quality product","Wow this mobile performance is so good. I like the mobile . 😀😀"
"5","Best in the market!","Value for money"
"5","Terrific","Very high performance phone with huge screen and monster battery"
"4","Delightful","Overall performance is OK but it consumes lots of data"
"5","Fabulous!","Awesome mobile and very attractive design !!"
"5","Terrific purchase","Normal phone"
"4","Good quality product","nice product"
"4","Just Just One Little Problem","Device is overall solid, smooth experience, amazing UI; just a little bigger for some people's taste. For e-book readers (like myself), its an awesome grab."
"5","Super!","Very good"
"5","Perfect product!","Very good"
"5","Classy product","Best ever phone  at this price"
"3","Nice","Hanging problem and calling problem"
"4","Value-for-money","Good. Dilivary fast. Good service."
"5","Best in the market!","Nice phone and nice looks"
"5","Awesome","Forget about Negative reviews. With this price range all is good. I loved big display. Battery backup is truly good with normal usage. Camera is good in daylight. One bad thing is that they give screen guard separately. Instead of that they should give pre-installed."
"4","Good choice","Don't buy it if you're buying it for camera, unless it is a great phone"
"5","Terrific","Orginal Ear Phone Required with the Box including Handset for enjoying Music."
"3","Nice","Good phone but display must be full hd and processor should be mediatek G70 "
"5","Just wow!","Super"
"4","Good quality product","Average phone"
"5","Terrific purchase","Very good"
"5","Highly recommended","Value money"
"5","Perfect product!","Amazing..."
"1","Not recommended at all","Mobile Not Working Properly . Very very Hanging Problem"
"5","Mind-blowing purchase","Good product money value and beat experience phone made in india"
"4","Delightful","Good"
"5","Awesome","Very good I am writing after 15day of use it 😎😎 awesome smart phone get good"
"5","Highly recommended","Good mobile"
"5","Wonderful","Dts sound system is fantastic and over all performance is good"
"3","Decent product","FIRST USE."
"5","Excellent","Sound is awesome"
"5","Simply awesome","Great infinix mobile"
"5","Best in the market!","This PHONE IS REALY VERY VERY GOOD FOR ALL PURPOSE SO SMOOTH , AND DELIVERY IS VERY GOOD AND QUICK "
"4","Worth the money","Very good phone built quality is good awasome cameras good job done by infinix"
"5","Best in the market!","Best hai"
"4","Good quality product","Amazing phone"
"4","Worth the money","Bettray 5000mah camera 48mp selfi 16mp Display 6.95"""
"5","Brilliant","Nice phone camera nice ..G70 processor best under..11k."
"5","Brilliant","Look is Awesome 😎😎😎😎😎😎😎😎"
"5","Best in the market!","Brilliant mobile. I have not seen a big mobile. "
"5","Terrific","I gifted this to my wife and she loved it good phone with great design best phone under segment"
"3","Does the job","Camera is not up to the mark not expected this .... Atleast upgrade the camera  front camera very poor 2 our of 5"
"5","Simply awesome","Superb mobile...blindly go for it.."
"2","Could be way better","Average performance"
"5","Best in the market!","I really love this phone . It is a mind blowing phone . It is a nice phone at less price . It has a display of 7"" inch . "
"4","Wonderful","Good"
"1","Absolute rubbish!","I purchase on 17 Oct and its auto restart from 18 and also having network issue"
"5","Highly recommended","Superb phone "
"5","Great product","Nich"
"4","Really Nice","Excellent Mobile."
"4","Good choice","Happy with the product.."
"4","Nice productp mobile","top class"
"5","Best in the market!","Nice product."
"5","Just wow!","good product"
"4","Nice product","Nice"
"5","Excellent","Infinix note 7 😍 Nice mobile👍"
"5","Excellent","Full review"
"3","Just okay","Pros"
"5","Simply awesome","It can be call all rounderd but i face only one problem in this phone that is its battery backup...."
"5","Must buy!","A very smart phone"
"5","Highly recommended","Too good"
